PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Unnamed: 30,ins_latitude,ins_longitude,bicimad_latitude,bicimad_longitude,distance,id,name,light,number,address,activate,no_available,total_bases,dock_bikes,free_bases,reservations_count,geometry_type,geometry_coordinates,latitude,longitude
11353987,Instalación Deportiva  Básica Embalse de San Juan,,,Pista de baloncesto. Pista de fútbol sala.,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD,EMBALSE DE SAN JUAN,CALLE,V,1,,,,,MADRID,MADRID,28051.0,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,449213.0,4468179.0,40.36264285659688,-3.5981484314802064,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.36264285659688,-3.5981484314802064,40.400368,-3.634587,5844.283277265608,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
6344681,Instalación Deportiva Básica Alto del Retiro,,,Pista polideportiva (marcajes de fútbol sala y balonmano) Pista baloncesto,Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c2150461f5310VgnVCM1000000b205a0aRCRD,ALTO DEL RETIRO,CALLE,V,13,,,,c/v calle Antonio Gades,MADRID,MADRID,28051.0,CASCO H.VALLECAS,VILLA DE VALLECAS,450057.0,4468715.0,40.36751469466709,-3.588264644913803,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.36751469466709,-3.588264644913803,40.400368,-3.634587,6330.202181471886,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
11350944,Instalación Deportiva Básica Avenida de Cerro Milano,,,Pista de minibaloncesto. Pista de minifútbol,Metro: CongostoBus: 142,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3ccd112cde58710VgnVCM1000001d4a900aRCRD,CERRO MILANO,AVENIDA,V,1,,,,,MADRID,MADRID,28051.0,CASCO H.VALLECAS,VILLA DE VALLECAS,447502.0,4468855.0,40.36861899124304,-3.618356801446381,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.36861899124304,-3.618356801446381,40.400368,-3.634587,3970.9661460476814,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
11350990,Instalación Deportiva Básica Avenida de las Suertes,,,Pista de baloncesto. Pista polideportiva (marcajes de fútbol sala y voleibol).,Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD,avenida de las Suertes,AVENIDA,V,,,,,,MADRID,MADRID,28051.0,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,448037.0,4469037.0,40.37029726652408,-3.6120673755658,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.37029726652408,-3.6120673755658,40.400368,-3.634587,4185.103647802616,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
11350948,Instalación Deportiva Básica Avenida del Ensanche de Vallecas,,,Pista de minibaloncesto. Pista de minifútbol. Pista de skate.,Metro: Las Suertes,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD,ENSANCHE DE VALLECAS,AVENIDA,V,11,,,,,MADRID,MADRID,28051.0,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,448037.0,4469037.0,40.37029726652408,-3.6120673755658,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.37029726652408,-3.6120673755658,40.400368,-3.634587,4185.103647802616,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
11350970,Instalación Deportiva Básica Avenida del Mediterráneo,,,Mini pista de patinaje,,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e52d112cde58710VgnVCM1000001d4a900aRCRD,LUIS MITJANS,INST. DEPORTIVA BASICA,T,,,,,,MADRID,MADRID,,,DISTRITO,443104.0,4472511.0,40.40126476374574,-3.670479840720475,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.40126476374574,-3.670479840720475,40.4032501,-3.6726019,323.8467019502896,89.0,Valderribas,2.0,84,Calle Doctor Esquerdo nº 191,1.0,0.0,24.0,10.0,14.0,0.0,Point,"[-3.6726019, 40.4032501]",40.4032501,-3.6726019
4540130,Instalación Deportiva Básica Camino de la Suerte,,,Campo de fútbol 11 de césped artificial.  Campo de fútbol 7 de tierra (próximamente de césped artificial).,"Metro: CongostoBus: 54 , 142.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a6fd908b7551110VgnVCM1000000b205a0aRCRD,SUERTE,CAMINO,V,25,,,,,MADRID,MADRID,28031.0,CASCO H.VALLECAS,VILLA DE VALLECAS,447596.0,4469654.0,40.37581378381724,-3.617327043456161,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol, ,40.37581378381724,-3.617327043456161,40.400368,-3.634587,3343.3154319745004,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
4540101,Instalación Deportiva Básica Circuito de Automodelismo,,,Circuito de automodelismo,"Metro: CongostoBus: 54 , 142",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cee0b2e617551110VgnVCM1000000b205a0aRCRD,NAVAMURES,CALLE,V,2,,,,,MADRID,MADRID,28031.0,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,446796.0,4469329.0,40.3728517892704,-3.626705109538528,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.3728517892704,-3.626705109538528,40.400368,-3.634587,3186.7645289066263,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
4538536,Instalación Deportiva Básica Colonia Vilda,,,"2 Pistas polideportivas, (marcajes de fútbol sala y balonmano y 2 baloncestos transversales).","Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617f55fdb3b41110VgnVCM1000000b205a0aRCRD,PUENTELARRA,CALLE,V,1,,,,c/v Avda. Sta. Eugenia,MADRID,MADRID,28031.0,SANTA EUGENIA,VILLA DE VALLECAS,448172.0,4470286.0,40.38154336396018,-3.610581791001682,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.38154336396018,-3.610581791001682,40.400368,-3.634587,3400.125732015549,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
11352297,Instalación Deportiva Básica Eduardo Chillida,,,Pista de minibaloncesto y minifútbol.,"Bus: 58 , 63 , 145Renfe: Santa Eugenia",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c981763979368710VgnVCM1000001d4a900aRCRD,EDUARDO CHILLIDA,CALLE,V,1,,,,,MADRID,MADRID,28051.0,ENSANCHE DE VALLECAS,VILLA DE VALLECAS,450323.0,4468214.0,40.36302244550467,-3.585074019427532,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.36302244550467,-3.585074019427532,40.400368,-3.634587,6912.557518224716,229.0,Pavones,2.0,221,Calle Hacienda de Pavones nº 342,1.0,0.0,24.0,8.0,14.0,0.0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587
