title,distance,@id,@type,id_x,relation,address.district.@id,address.area.@id,address.locality,address.postal-code,address.street-address,location.latitude,location.longitude,organization.organization-desc,organization.accesibility,organization.schedule,organization.services,organization.organization-name,mercator1,key,id_y,name,light,number,address,activate,no_available,total_bases,dock_bikes,free_bases,reservations_count,geometry_type,geometry_coordinates,latitude,longitude,mercator2,google_maps_url
Instalación Deportiva  Básica Embalse de San Juan,5844.2832772656075,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/11353987-instalacion-deportiva-basica-embalse-san-juan.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,11353987,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/EnsancheVallecas,MADRID,28051,CALLE EMBALSE DE SAN JUAN 1,40.36264285659688,-3.5981484314802064,"  Bus: 58 , 63 , 145Renfe: Santa Eugenia",0,,Pista de baloncesto. Pista de fútbol sala.,Instalación Deportiva  Básica Embalse de San Juan,POINT (4493148.849867125 -400807.5874588021),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.36264285659688,-3.5981484314802064/40.400368,-3.634587/@40.36264285659688,-3.5981484314802064,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.5981484314802064!2d40.36264285659688!1m0!3e2"
Instalación Deportiva Básica Alto del Retiro,6330.202181471886,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/6344681-instalacion-deportiva-basica-alto-retiro.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,6344681,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c2150461f5310VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/CascoHVallecas,MADRID,28051,CALLE ALTO DEL RETIRO 13 c/v calle Antonio Gades,40.36751469466709,-3.588264644913803,  Metro: Las Suertes,0,,Pista polideportiva (marcajes de fútbol sala y balonmano) Pista baloncesto,Instalación Deportiva Básica Alto del Retiro,POINT (4493691.180400329 -399705.162185076),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.36751469466709,-3.588264644913803/40.400368,-3.634587/@40.36751469466709,-3.588264644913803,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.588264644913803!2d40.36751469466709!1m0!3e2"
Instalación Deportiva Básica Avenida de Cerro Milano,3970.9661460476823,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/11350944-instalacion-deportiva-basica-avenida-cerro-milano.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,11350944,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3ccd112cde58710VgnVCM1000001d4a900aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/CascoHVallecas,MADRID,28051,AVENIDA CERRO MILANO 1,40.36861899124304,-3.618356801446381,  Metro: CongostoBus: 142,0,,Pista de minibaloncesto. Pista de minifútbol,Instalación Deportiva Básica Avenida de Cerro Milano,POINT (4493814.110132848 -403061.6411942258),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.36861899124304,-3.618356801446381/40.400368,-3.634587/@40.36861899124304,-3.618356801446381,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.618356801446381!2d40.36861899124304!1m0!3e2"
Instalación Deportiva Básica Avenida de las Suertes,4185.103647801871,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/11350990-instalacion-deportiva-basica-avenida-suertes.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,11350990,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/EnsancheVallecas,MADRID,28051,AVENIDA avenida de las Suertes ,40.370297266524084,-3.6120673755658,  Metro: Las Suertes,0,,Pista de baloncesto. Pista polideportiva (marcajes de fútbol sala y voleibol).,Instalación Deportiva Básica Avenida de las Suertes,POINT (4494000.934882545 -402360.1094749886),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.370297266524084,-3.6120673755658/40.400368,-3.634587/@40.370297266524084,-3.6120673755658,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6120673755658!2d40.370297266524084!1m0!3e2"
Instalación Deportiva Básica Avenida del Ensanche de Vallecas,4185.103647801871,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/11350948-instalacion-deportiva-basica-avenida-ensanche-vallecas.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,11350948,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/EnsancheVallecas,MADRID,28051,AVENIDA ENSANCHE DE VALLECAS 11,40.370297266524084,-3.6120673755658,  Metro: Las Suertes,0,,Pista de minibaloncesto. Pista de minifútbol. Pista de skate.,Instalación Deportiva Básica Avenida del Ensanche de Vallecas,POINT (4494000.934882545 -402360.1094749886),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.370297266524084,-3.6120673755658/40.400368,-3.634587/@40.370297266524084,-3.6120673755658,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6120673755658!2d40.370297266524084!1m0!3e2"
Instalación Deportiva Básica Avenida del Mediterráneo,323.8467019502896,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/11350970-instalacion-deportiva-basica-avenida-mediterraneo.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,11350970,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e52d112cde58710VgnVCM1000001d4a900aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Distrito,,MADRID,,INST. DEPORTIVA BASICA LUIS MITJANS ,40.40126476374574,-3.670479840720475,  ,0,,Mini pista de patinaje,Instalación Deportiva Básica Avenida del Mediterráneo,POINT (4497448.220904402 -408875.7090828238),0,89,Valderribas,2,84,Calle Doctor Esquerdo nº 191,1,0,24,10,14,0,Point,"[-3.6726019, 40.4032501]",40.4032501,-3.6726019,POINT (4497669.227525279 -409112.4214819339),"https://www.google.com/maps/dir/40.40126476374574,-3.670479840720475/40.4032501,-3.6726019/@40.40126476374574,-3.670479840720475,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.670479840720475!2d40.40126476374574!1m0!3e2"
Instalación Deportiva Básica Camino de la Suerte,3343.3154319745004,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4540130-instalacion-deportiva-basica-camino-suerte.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol,4540130,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a6fd908b7551110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/CascoHVallecas,MADRID,28031,CAMINO SUERTE 25,40.375813783817236,-3.617327043456161,"  Metro: CongostoBus: 54 , 142.",0,,Campo de fútbol 11 de césped artificial.  Campo de fútbol 7 de tierra (próximamente de césped artificial).,Instalación Deportiva Básica Camino de la Suerte,POINT (4494615.030778571 -402946.780155657),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.375813783817236,-3.617327043456161/40.400368,-3.634587/@40.375813783817236,-3.617327043456161,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.617327043456161!2d40.375813783817236!1m0!3e2"
Instalación Deportiva Básica Circuito de Automodelismo,3186.7645289068187,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4540101-instalacion-deportiva-basica-circuito-automodelismo.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,4540101,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cee0b2e617551110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/EnsancheVallecas,MADRID,28031,CALLE NAVAMURES 2,40.3728517892704,-3.6267051095385274,"  Metro: CongostoBus: 54 , 142",0,,Circuito de automodelismo,Instalación Deportiva Básica Circuito de Automodelismo,POINT (4494285.303053884 -403992.8311560587),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.3728517892704,-3.6267051095385274/40.400368,-3.634587/@40.3728517892704,-3.6267051095385274,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6267051095385274!2d40.3728517892704!1m0!3e2"
Instalación Deportiva Básica Colonia Vilda,3400.125732015549,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4538536-instalacion-deportiva-basica-colonia-vilda.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,4538536,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617f55fdb3b41110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/SantaEugenia,MADRID,28031,CALLE PUENTELARRA 1 c/v Avda. Sta. Eugenia,40.38154336396018,-3.6105817910016826,"  Bus: 58 , 63 , 145Renfe: Santa Eugenia",0,,"2 Pistas polideportivas, (marcajes de fútbol sala y balonmano y 2 baloncestos transversales).",Instalación Deportiva Básica Colonia Vilda,POINT (4495252.844722543 -402194.4059199485),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.38154336396018,-3.6105817910016826/40.400368,-3.634587/@40.38154336396018,-3.6105817910016826,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6105817910016826!2d40.38154336396018!1m0!3e2"
Instalación Deportiva Básica Eduardo Chillida,6912.557518224716,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/11352297-instalacion-deportiva-basica-eduardo-chillida.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,11352297,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c981763979368710VgnVCM1000001d4a900aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/VillaDeVallecas/Barrio/EnsancheVallecas,MADRID,28051,CALLE EDUARDO CHILLIDA 1,40.36302244550467,-3.585074019427532,"  Bus: 58 , 63 , 145Renfe: Santa Eugenia",0,,Pista de minibaloncesto y minifútbol.,Instalación Deportiva Básica Eduardo Chillida,POINT (4493191.105511052 -399349.2863302894),0,229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]",40.400368,-3.634587,POINT (4497348.393620864 -404872.003688147),"https://www.google.com/maps/dir/40.36302244550467,-3.585074019427532/40.400368,-3.634587/@40.36302244550467,-3.585074019427532,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.585074019427532!2d40.36302244550467!1m0!3e2"
