Place of interest,Station location,BiciMAD station,Station location,Indications
Instalación Deportiva  Básica Embalse de San Juan,CALLE EMBALSE DE SAN JUAN 1,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.36264285659688,-3.5981484314802064/40.400368,-3.634587/@40.36264285659688,-3.5981484314802064,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.5981484314802064!2d40.36264285659688!1m0!3e2"
Instalación Deportiva Básica Alto del Retiro,CALLE ALTO DEL RETIRO 13 c/v calle Antonio Gades,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.36751469466709,-3.588264644913803/40.400368,-3.634587/@40.36751469466709,-3.588264644913803,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.588264644913803!2d40.36751469466709!1m0!3e2"
Instalación Deportiva Básica Avenida de Cerro Milano,AVENIDA CERRO MILANO 1,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.36861899124304,-3.618356801446381/40.400368,-3.634587/@40.36861899124304,-3.618356801446381,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.618356801446381!2d40.36861899124304!1m0!3e2"
Instalación Deportiva Básica Avenida de las Suertes,AVENIDA avenida de las Suertes ,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.370297266524084,-3.6120673755658/40.400368,-3.634587/@40.370297266524084,-3.6120673755658,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6120673755658!2d40.370297266524084!1m0!3e2"
Instalación Deportiva Básica Avenida del Ensanche de Vallecas,AVENIDA ENSANCHE DE VALLECAS 11,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.370297266524084,-3.6120673755658/40.400368,-3.634587/@40.370297266524084,-3.6120673755658,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6120673755658!2d40.370297266524084!1m0!3e2"
Instalación Deportiva Básica Avenida del Mediterráneo,INST. DEPORTIVA BASICA LUIS MITJANS ,Valderribas,Calle Doctor Esquerdo nº 191,"https://www.google.com/maps/dir/40.40126476374574,-3.670479840720475/40.4032501,-3.6726019/@40.40126476374574,-3.670479840720475,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.670479840720475!2d40.40126476374574!1m0!3e2"
Instalación Deportiva Básica Camino de la Suerte,CAMINO SUERTE 25,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.375813783817236,-3.617327043456161/40.400368,-3.634587/@40.375813783817236,-3.617327043456161,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.617327043456161!2d40.375813783817236!1m0!3e2"
Instalación Deportiva Básica Circuito de Automodelismo,CALLE NAVAMURES 2,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.3728517892704,-3.6267051095385274/40.400368,-3.634587/@40.3728517892704,-3.6267051095385274,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6267051095385274!2d40.3728517892704!1m0!3e2"
Instalación Deportiva Básica Colonia Vilda,CALLE PUENTELARRA 1 c/v Avda. Sta. Eugenia,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.38154336396018,-3.6105817910016826/40.400368,-3.634587/@40.38154336396018,-3.6105817910016826,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6105817910016826!2d40.38154336396018!1m0!3e2"
Instalación Deportiva Básica Eduardo Chillida,CALLE EDUARDO CHILLIDA 1,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.36302244550467,-3.585074019427532/40.400368,-3.634587/@40.36302244550467,-3.585074019427532,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.585074019427532!2d40.36302244550467!1m0!3e2"
Instalación Deportiva Básica Jardines de José Luis Sampedro (junto al Centro Cultural Galileo),JARDIN JOSE LUIS SAMPEDRO ,Fernando el Católico,Calle Fernando el Católico nº 19,"https://www.google.com/maps/dir/40.433860781133276,-3.7108172940093223/40.4338516,-3.708439/@40.433860781133276,-3.7108172940093223,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7108172940093223!2d40.433860781133276!1m0!3e2"
Instalación Deportiva Básica Jardines del Teniente Alcalde,CALLE Jardines del Teniente Alcalde 49,Canal,Calle José Abascal frente al nº 2,"https://www.google.com/maps/dir/40.43935627177327,-3.704371546221416/40.4386944,-3.7038333/@40.43935627177327,-3.704371546221416,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.704371546221416!2d40.43935627177327!1m0!3e2"
